,CUDI_REPRO,CULT_REPRO,CUNO_REPRO,GRLT,GRWD,GRWT100,HDG_80HEAD,LIGLT,LLT,LWD,PLT_POST,SDHT,country,region,subespecie
IRIS_313.10780,5.0,151.0,12.0,8.6,3.2,2.6,115.0,20.0,72.0,2.3,35.0,30.0,Indonesia,SEA,JAP
IRIS_313.11183,5.0,113.0,13.0,9.6,3.4,3.2,116.0,16.0,62.0,1.5,28.0,61.0,Indonesia,SEA,JAP
IRIS_313.10152,6.0,116.0,11.0,9.8,3.0,2.8,98.0,11.0,66.0,2.1,30.0,23.0,Indonesia,SEA,JAP
IRIS_313.10781,5.0,170.0,11.0,9.8,3.4,2.8,106.0,20.0,56.0,2.3,30.0,34.0,Indonesia,SEA,JAP
IRIS_313.10841,5.0,126.0,12.0,9.5,3.6,2.8,103.0,24.0,71.0,2.2,35.0,46.0,Indonesia,SEA,JAP
IRIS_313.10782,5.0,160.0,9.0,9.7,3.1,2.9,106.0,22.0,79.0,1.6,33.0,35.0,Indonesia,SEA,IND
IRIS_313.10783,5.0,160.0,16.0,8.9,3.3,2.7,115.0,17.0,50.0,1.7,29.0,29.0,Indonesia,SEA,JAP
IRIS_313.10740,5.0,137.0,9.0,9.8,3.3,3.4,115.0,16.0,65.0,2.2,34.0,37.0,Indonesia,SEA,JAP
IRIS_313.10741,5.0,137.0,9.0,9.5,3.3,3.2,115.0,16.0,64.0,2.2,30.0,35.0,Indonesia,SEA,JAP
IRIS_313.10784,5.0,169.0,12.0,9.6,3.2,2.9,106.0,15.0,60.0,2.0,31.0,34.0,Indonesia,SEA,JAP
